test_set,model,clips,frames,mean_mask_ratio,shifted_distance,shifted_distance_median,shifted_distance_std,npss,npss_median,npss_std,full_l1,full_l1_median,full_l1_std,missing_l1,missing_l1_median,missing_l1_std
held_out_algorithmic,original,201,36540,0.892028525146237,0.4656521011399281,0.3791014449349765,0.3931737711154798,2.182326368485508,0.7365788845032173,3.6982533269284126,0.02137352209573334,0.014951972290873528,0.021946424559886976,0.02419732287988389,0.01711910031735897,0.025027325669826395
held_out_algorithmic,prior_10k,201,36540,0.892028525146237,0.211539394814392,0.14533001110695376,0.2244646735629202,0.9013070676510134,0.35591952813450073,2.8483004516204717,0.010211404527409236,0.006433078087866306,0.01288174601664427,0.012029349021813416,0.007274171803146601,0.015535323926010824
held_out_algorithmic,release,201,36540,0.892028525146237,0.21154216703157208,0.14532983605519378,0.2244652360706563,0.8983028807320528,0.3576958470423845,2.8451804029372205,0.010211484797348283,0.006433232221752405,0.012881722958165217,0.012029438996576764,0.00727420998737216,0.01553530721395807
held_out_random,original,201,36540,0.8838676223733377,0.3677920032213693,0.22544339724949428,0.5257536387901985,1.3590905637842359,0.6595144758917957,1.9684007231330012,0.018641641307465817,0.012350904755294323,0.025518993097248317,0.021007639195958838,0.0138154411688447,0.02896018894485555
held_out_random,prior_10k,201,36540,0.8838676223733377,0.29334952945146275,0.18911407124251128,0.315516622310533,1.2666883682965036,0.746628022353424,1.682939913115968,0.014917402200206478,0.010201090015470982,0.01586107673236794,0.016796488320814935,0.011706330813467503,0.01790831811317601
held_out_random,release,201,36540,0.8838676223733377,0.2933539362055119,0.18911608898391327,0.31551963476215045,1.2694764486186896,0.7460021490015585,1.6715114959853232,0.014917485079976771,0.010201068595051765,0.01586113840187127,0.016796582074067232,0.011706347577273846,0.01790838973862813
production,original,56,6654,0.7455420896844516,0.25732181862747094,0.21369302312533062,0.2380894102099856,0.6717432309989391,0.21827519930314782,1.1608108462091937,0.012205303612712928,0.0069318481255322695,0.016240797811617465,0.01620627434736629,0.00917418161407113,0.019941806284414724
production,prior_10k,56,6654,0.7455420896844516,0.1562489603380366,0.094447316165842,0.1935570872599423,0.493668955278865,0.1476071641119691,0.9995527694713989,0.007838312734163213,0.004962481092661619,0.011422469790005494,0.010951255138414646,0.006517714820802212,0.014543937000781687
production,release,56,6654,0.7455420896844516,0.15623178714414343,0.09445416326480796,0.193551116896473,0.4934523693021778,0.14760721763509205,0.9986119928024864,0.007838449161096963,0.004962565843015909,0.011422473613699788,0.01095143761046659,0.006517806788906455,0.014543966455953895
