test_set,model,clip_id,episode_id,scene_id,frames,unmasked_frames,missing_frames,mask_ratio,shifted_distance,npss,full_l1,missing_l1
held_out_algorithmic,original,0,ep0001,scn0029,132,4,128,0.9696969696969697,0.03286344965280437,0.6189754786257916,0.004636986181139946,0.00478189205750823
held_out_algorithmic,prior_10k,0,ep0001,scn0029,132,4,128,0.9696969696969697,0.033088874905856686,1.0456638525449964,0.004273704253137112,0.0044072577729821205
held_out_algorithmic,release,0,ep0001,scn0029,132,4,128,0.9696969696969697,0.03308692485538881,1.0486999521896287,0.00427387747913599,0.004407435655593872
held_out_algorithmic,original,1,ep0001,scn0034,102,6,96,0.9411764705882353,0.12578869034659187,0.20736011101742116,0.0071944547817111015,0.007644108030945063
held_out_algorithmic,prior_10k,1,ep0001,scn0034,102,6,96,0.9411764705882353,0.08927991536428344,0.0473899158526196,0.002272108569741249,0.0024141157045960426
held_out_algorithmic,release,1,ep0001,scn0034,102,6,96,0.9411764705882353,0.08928069444197528,0.047394155173165135,0.0022720564156770706,0.0024140598252415657
held_out_algorithmic,original,2,ep0002,scn0010b,105,9,96,0.9142857142857143,0.12353035411797464,0.09557619797304123,0.004367070738226175,0.004776483867317438
held_out_algorithmic,prior_10k,2,ep0002,scn0010b,105,9,96,0.9142857142857143,0.08989156175500414,0.04250921714224456,0.0018754878547042608,0.002051314804702997
held_out_algorithmic,release,2,ep0002,scn0010b,105,9,96,0.9142857142857143,0.08989232690419158,0.04250885008898825,0.0018754471093416214,0.0020512703340500593
held_out_algorithmic,original,3,ep0002,scn0011,242,10,232,0.9586776859504132,0.18437728214263915,0.7179870073625015,0.009074000641703606,0.009465120732784271
held_out_algorithmic,prior_10k,3,ep0002,scn0011,242,10,232,0.9586776859504132,0.030901210165582598,0.15829018961847036,0.001272978144697845,0.0013278478290885687
held_out_algorithmic,release,3,ep0002,scn0011,242,10,232,0.9586776859504132,0.030901020194403828,0.15829652886566226,0.001272966037504375,0.0013278352562338114
held_out_algorithmic,original,4,ep0003,scn0049,42,14,28,0.6666666666666666,0.5908028273670761,0.17048635313186036,0.009024176746606827,0.013536266051232815
held_out_algorithmic,prior_10k,4,ep0003,scn0049,42,14,28,0.6666666666666666,0.7724806975435328,0.7248868493423034,0.012235715053975582,0.018353572115302086
held_out_algorithmic,release,4,ep0003,scn0049,42,14,28,0.6666666666666666,0.7724792162577311,0.7246919842454069,0.012235681526362896,0.018353521823883057
held_out_algorithmic,original,5,ep0005,scn0044,72,10,62,0.8611111111111112,0.24370090770535172,0.4731558358008925,0.014951972290873528,0.01736357994377613
held_out_algorithmic,prior_10k,5,ep0005,scn0044,72,10,62,0.8611111111111112,0.0853188858833164,0.2280588313684925,0.008813237771391869,0.010234727524220943
held_out_algorithmic,release,5,ep0005,scn0044,72,10,62,0.8611111111111112,0.08530396902933716,0.2279197544758213,0.008813227526843548,0.010234715417027473
held_out_algorithmic,original,6,ep0007,scn0006,93,5,88,0.946236559139785,0.6629841613272826,2.6143315352241694,0.02537209913134575,0.026813695207238197
held_out_algorithmic,prior_10k,6,ep0007,scn0006,93,5,88,0.946236559139785,0.6134727721412977,1.6508393742772325,0.009863358922302723,0.01042377669364214
held_out_algorithmic,release,6,ep0007,scn0006,93,5,88,0.946236559139785,0.6135467862089475,1.6513108213086132,0.009863658808171749,0.010424094274640083
